Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,Scenario
EBS_Pollock_2024,2,9,2032,4801.58,12859.2,17594.2,0.643779,0.100817,17315.7,1300,3194.29,3835.78,4.70202,3.25045,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2025,3274.81,17783.8,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.64613,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2026,2883.61,9548,11296.5,0.479904,0.195045,9497.26,1300,1729.23,2075.69,4.70469,3.00283,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2027,2649.73,9972.25,10464.1,0.466009,0.206064,8905.1,1300,1646.38,1977.09,4.52702,3.01778,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2028,2484.69,19135.1,9454.98,0.459572,0.211396,8537.63,1300,1607.8,1929.18,4.72115,2.41855,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2029,2225.23,16523,8787.25,0.433758,0.234392,7576.34,1300,1367.69,1621.65,4.85568,2.35254,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2030,1830.14,9676.08,8132.53,0.381614,0.290563,6302.64,1300,969.556,1156.23,4.28399,2.59276,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2031,1549.54,35496.8,7445.67,0.331217,0.362358,5799.51,1300,696.346,836.62,3.79626,1.75753,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,10,2032,1470.84,51028.2,8313.11,0.325771,0.371515,5767.59,1300,646.162,778.432,3.83331,1.59011,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2025,3274.81,11261.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.96539,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2026,2883.61,6219.42,10937.6,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71588,3.37659,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2027,2647.25,22493,9774.34,0.464915,0.206959,8883.88,1300,1639.78,1968.94,4.75152,2.37037,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2028,2406.71,87577.7,9277.39,0.452286,0.217617,8039.2,1300,1555.61,1839.71,5.07297,1.4550399999999999,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2029,1984.97,12722.5,12480.2,0.405985,0.262465,6581.44,1300,1130.19,1343.34,4.26128,2.24673,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2030,1673.18,19191.1,13435.8,0.361628,0.316538,6305.36,1300,828.297,993.879,2.50601,2.4613,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2031,2431.62,10017.1,14640.4,0.432032,0.236029,11432.8,1300,1465.06,1773.35,3.19112,3.00295,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,11,2032,3699.74,24422.8,15465.6,0.578716,0.131932,14420.1,1300,2503.12,3018.77,4.10264,2.59773,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2025,3274.81,16491.7,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.70087,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2026,2883.61,9599.09,11225.4,0.479904,0.195045,9497.26,1300,1729.23,2075.69,4.7069,3.01676,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2027,2649.24,42976.4,10366.5,0.465793,0.20624,8900.89,1300,1645.07,1975.47,4.56815,1.9091,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2028,2469.53,52154.4,11154.8,0.458274,0.21249,8441.19,1300,1600.25,1918.97,4.69337,1.76082,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2029,2198.24,27600.5,13026.7,0.435148,0.233083,7531.6,1300,1359.77,1613.68,3.69053,2.13195,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2030,2191.33,14986.4,14269.4,0.423113,0.244707,8733.65,1300,1302.92,1553.07,3.07904,2.61645,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2031,2933.86,11627.5,15297,0.497205,0.18219,12167,1300,1855.6,2241.52,3.50333,3.01028,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,12,2032,3738.94,8730.98,15111.7,0.584199,0.129049,14340.9,1300,2535.4,3047.1,4.20298,3.38275,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2025,3274.81,13525,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.84146,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2026,2883.61,18421.6,11062.1,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71199,2.58163,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2027,2648.11,17948.4,10621.6,0.465297,0.206646,8891.24,1300,1642.08,1971.78,4.65026,2.49613,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2028,2438.04,19849.6,10186,0.456772,0.213763,8248.09,1300,1591.61,1889.04,4.51253,2.3595,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2029,2199.28,36805.2,9792.53,0.428815,0.239117,7751.82,1300,1331.98,1580.87,4.25576,1.91448,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2030,2055.36,10040.4,10658.2,0.407429,0.260909,7476.73,1300,1167.83,1392.18,3.99847,2.55408,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2031,1999.08,52152.5,10494.4,0.408741,0.259505,7522.05,1300,1144.3,1365.35,3.46621,1.76484,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,13,2032,2176,47446.2,12369.7,0.422958,0.24486,8793.73,1300,1294.15,1543.28,3.76483,1.84232,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2025,3274.81,8445.78,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,3.14503,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2026,2883.61,17810.6,10782.6,0.479902,0.195046,9497.26,1300,1729.22,2075.68,4.72073,2.64286,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2027,2646.17,40271.2,10193.5,0.464443,0.207347,8874.72,1300,1636.95,1965.44,4.83121,1.9173,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2028,2378.04,18136.8,10893.5,0.451406,0.218382,7866.37,1300,1535.19,1816.13,4.64168,2.30128,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2029,2041.05,29114.8,10802.2,0.412149,0.2559,7166.18,1300,1180.87,1404.3,3.59269,2.11322,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2030,2121.14,55874,11646.5,0.405271,0.263238,8476.89,1300,1190.11,1422.54,3.60761,1.76887,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2031,2490.9,9788.48,14326.1,0.468801,0.203796,9523.08,1300,1667.64,2008.16,3.71175,2.60247,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,14,2032,2666.27,8339.57,14352.1,0.499908,0.180262,10330.5,1300,1856.31,2227.6,3.32228,3.10464,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2025,3274.81,14038.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.81547,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2026,2883.61,31434.1,11090.4,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71111,2.17803,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2027,2648.31,10853,11377.6,0.465385,0.206574,8892.91,1300,1642.61,1972.44,4.60953,2.71872,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2028,2449.05,21886.7,10854.2,0.459548,0.211416,8328.84,1300,1607.79,1914.84,4.11365,2.37412,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2029,2365.95,19524,10624.4,0.443805,0.225119,8763.59,1300,1492.57,1769.84,4.18275,2.38297,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2030,2397.84,66195.3,10719.2,0.452365,0.217548,8582.4,1300,1556.13,1847.31,4.21116,1.64113,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2031,2266.16,25536.6,12859.5,0.446345,0.222842,8320.21,1300,1448.35,1715.64,3.98951,2.12586,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,15,2032,2227.37,8930.91,14257.1,0.432452,0.235629,8325.03,1300,1364.6,1626.06,3.09488,2.816,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2025,3274.81,6021.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,3.32818,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2026,2883.61,12613.4,10649.2,0.479902,0.195046,9497.26,1300,1729.22,2075.68,4.72492,2.95682,0.5,5977.95,2391.18,2092.28,2
