Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2019,1987,4264.341716039381,164.33881620780252,3935.664083623776,4593.019348454986
2019,1988,4023.488580004697,140.54845275265095,3742.391674499395,4304.585485509999
2019,1989,3496.1962590290364,122.98903395250018,3250.218191124036,3742.174326934037
2019,1990,2985.351941426361,112.99917108464336,2759.353599257074,3211.350283595648
2019,1991,2433.75464186405,103.46758140901437,2226.819479046021,2640.689804682079
2019,1992,2309.3239854841304,90.58347625672766,2128.157032970675,2490.4909379975857
2019,1993,2996.0322161624913,102.38256442487987,2791.2670873127317,3200.797345012251
2019,1994,3469.758441189086,115.31969789099786,3239.1190454070907,3700.3978369710817
2019,1995,3713.4597534001355,120.15865752748226,3473.142438345171,3953.7770684551
2019,1996,3655.7876603890345,118.32056066737461,3419.1465390542853,3892.4287817237837
2019,1997,3563.412108584715,118.230420427032,3326.951267730651,3799.872949438779
2019,1998,3037.470950300839,102.51693185117927,2832.43708659848,3242.5048140031977
2019,1999,3161.1852315500487,101.44176877384966,2958.3016940023494,3364.068769097748
2019,2000,3038.102081364885,94.47509459902965,2849.1518921668257,3227.0522705629446
2019,2001,3079.735432271295,95.48212665317568,2888.7711789649434,3270.6996855776465
2019,2002,2868.975595754198,89.23274926567088,2690.510097222856,3047.4410942855397
2019,2003,2893.0009970019914,85.22570170973026,2722.549593582531,3063.452400421452
2019,2004,3192.445775604457,89.6211395422357,3013.203496519986,3371.6880546889283
2019,2005,2818.0061248321313,81.40795016362003,2655.1902245048914,2980.822025159371
2019,2006,2593.774413202669,80.16203095073035,2433.4503513012087,2754.0984751041296
2019,2007,2156.504647746508,75.54732440380741,2005.4099989388933,2307.5992965541227
2019,2008,1681.003661581382,67.57303921482041,1545.8575831517412,1816.1497400110227
2019,2009,1788.0112816969165,72.52785895142114,1642.9555637940744,1933.0669995997587
2019,2010,1835.8616268090113,74.86932070153516,1686.122985405941,1985.6002682120816
2019,2011,2298.926392235367,93.10947354014873,2112.7074451550698,2485.1453393156644
2019,2012,2883.716593892351,122.38403082949107,2638.9485322333685,3128.484655551333
2019,2013,3370.1408952389916,156.7976807877202,3056.5455336635514,3683.7362568144317
2019,2014,3419.205107544527,183.00550124438433,3053.1941050557584,3785.2161100332955
2019,2015,3400.668454520197,220.68514449798076,2959.2981655242356,3842.0387435161583
2019,2016,3915.3759004561116,316.7801028496414,3281.8156947568286,4548.936106155395
2019,2017,4504.699857660194,434.5899986776486,3635.5198603048966,5373.879855015491
2019,2018,4221.3235085434835,468.1611070441499,3285.0012944551836,5157.645722631783
2019,2019,4075.7290486047154,518.6275580529613,3038.473932498793,5112.984164710638
2020,1964,1331.2603083656263,276.386183781745,778.4879408021363,1884.0326759291163
2020,1965,1361.9364704944676,275.5185422099738,810.89938607452,1912.9735549144152
2020,1966,1387.6915691206746,286.82973357391614,814.0321019728423,1961.351036268507
2020,1967,1501.4921173735872,303.74541235226417,894.0012926690589,2108.9829420781157
2020,1968,1670.6310175618166,341.6489364226553,987.333144716506,2353.9288904071273
