spp_file,Alt,Year,variable,value
EBS_Pollock_2024,2,2031,C_ub,2407.15
EBS_Pollock_2024,2,2031,C_median,1523.69
EBS_Pollock_2024,2,2031,C_mean,1538.25
EBS_Pollock_2024,2,2031,C_sd,539.217
EBS_Pollock_2024,2,2032,C_lb,798.641
EBS_Pollock_2024,2,2032,C_ub,2506.57
EBS_Pollock_2024,2,2032,C_median,1547.54
EBS_Pollock_2024,2,2032,C_mean,1563.36
EBS_Pollock_2024,2,2032,C_sd,535.157
EBS_Pollock_2024,2,2033,C_lb,795.18
EBS_Pollock_2024,2,2033,C_ub,2540.64
EBS_Pollock_2024,2,2033,C_median,1552.22
EBS_Pollock_2024,2,2033,C_mean,1580.58
EBS_Pollock_2024,2,2033,C_sd,562.148
EBS_Pollock_2024,2,2034,C_lb,787.992
EBS_Pollock_2024,2,2034,C_ub,2537.18
EBS_Pollock_2024,2,2034,C_median,1528.95
EBS_Pollock_2024,2,2034,C_mean,1572.33
EBS_Pollock_2024,2,2034,C_sd,562.675
EBS_Pollock_2024,2,2035,C_lb,775.008
EBS_Pollock_2024,2,2035,C_ub,2534.86
EBS_Pollock_2024,2,2035,C_median,1547.98
EBS_Pollock_2024,2,2035,C_mean,1564.48
EBS_Pollock_2024,2,2035,C_sd,540.039
EBS_Pollock_2024,2,2036,C_lb,786.592
EBS_Pollock_2024,2,2036,C_ub,2488.73
EBS_Pollock_2024,2,2036,C_median,1537.42
EBS_Pollock_2024,2,2036,C_mean,1562
EBS_Pollock_2024,2,2036,C_sd,527.098
EBS_Pollock_2024,2,2037,C_lb,795.33
EBS_Pollock_2024,2,2037,C_ub,2459.38
EBS_Pollock_2024,2,2037,C_median,1499.83
EBS_Pollock_2024,2,2037,C_mean,1553.55
EBS_Pollock_2024,2,2037,C_sd,531.693
EBS_Pollock_2024,2,2038,C_lb,805.134
EBS_Pollock_2024,2,2038,C_ub,2560.94
EBS_Pollock_2024,2,2038,C_median,1518.01
EBS_Pollock_2024,2,2038,C_mean,1560.74
EBS_Pollock_2024,2,2038,C_sd,557.502
EBS_Pollock_2024,2,2025,SSB_lb,3262.6
EBS_Pollock_2024,2,2025,SSB_ub,3262.6
EBS_Pollock_2024,2,2025,SSB_median,3262.6
EBS_Pollock_2024,2,2025,SSB_mean,3262.6
EBS_Pollock_2024,2,2026,SSB_lb,2843.77
EBS_Pollock_2024,2,2026,SSB_ub,2843.77
EBS_Pollock_2024,2,2026,SSB_median,2843.77
EBS_Pollock_2024,2,2026,SSB_mean,2843.77
EBS_Pollock_2024,2,2027,SSB_lb,2548.22
EBS_Pollock_2024,2,2027,SSB_ub,2561.51
EBS_Pollock_2024,2,2027,SSB_median,2551.66
EBS_Pollock_2024,2,2027,SSB_mean,2552.92
EBS_Pollock_2024,2,2028,SSB_lb,2189.75
EBS_Pollock_2024,2,2028,SSB_ub,2683.77
EBS_Pollock_2024,2,2028,SSB_median,2310.18
EBS_Pollock_2024,2,2028,SSB_mean,2359.77
EBS_Pollock_2024,2,2029,SSB_lb,1868.21
EBS_Pollock_2024,2,2029,SSB_ub,3222.72
EBS_Pollock_2024,2,2029,SSB_median,2237.28
EBS_Pollock_2024,2,2029,SSB_mean,2348.15
EBS_Pollock_2024,2,2030,SSB_lb,1732.66
EBS_Pollock_2024,2,2030,SSB_ub,3455.5
EBS_Pollock_2024,2,2030,SSB_median,2270.43
EBS_Pollock_2024,2,2030,SSB_mean,2395.32
EBS_Pollock_2024,2,2031,SSB_lb,1727.19
EBS_Pollock_2024,2,2031,SSB_ub,3536.64
EBS_Pollock_2024,2,2031,SSB_median,2328.91
EBS_Pollock_2024,2,2031,SSB_mean,2439.44
EBS_Pollock_2024,2,2032,SSB_lb,1698.69
EBS_Pollock_2024,2,2032,SSB_ub,3640.79
EBS_Pollock_2024,2,2032,SSB_median,2374.92
EBS_Pollock_2024,2,2032,SSB_mean,2477.78
EBS_Pollock_2024,2,2033,SSB_lb,1708.78
EBS_Pollock_2024,2,2033,SSB_ub,3681.79
EBS_Pollock_2024,2,2033,SSB_median,2362.43
