scenario,year,quantity,value
Prior BTSProp ages for 1982-2024,1992,recruitment_age1,22615.9
Prior BTSProp ages for 1982-2024,1992,predicted_catch,1383.75
Prior BTSProp ages for 1982-2024,1993,spawning_biomass,2748.38
Prior BTSProp ages for 1982-2024,1993,recruitment_age1,44589.4
Prior BTSProp ages for 1982-2024,1993,predicted_catch,1334.21
Prior BTSProp ages for 1982-2024,1994,spawning_biomass,2980.01
Prior BTSProp ages for 1982-2024,1994,recruitment_age1,15144.3
Prior BTSProp ages for 1982-2024,1994,predicted_catch,1338.4
Prior BTSProp ages for 1982-2024,1995,spawning_biomass,3069.07
Prior BTSProp ages for 1982-2024,1995,recruitment_age1,10593.6
Prior BTSProp ages for 1982-2024,1995,predicted_catch,1278.16
Prior BTSProp ages for 1982-2024,1996,spawning_biomass,3316.42
Prior BTSProp ages for 1982-2024,1996,recruitment_age1,21981.2
Prior BTSProp ages for 1982-2024,1996,predicted_catch,1210.63
Prior BTSProp ages for 1982-2024,1997,spawning_biomass,2902.84
Prior BTSProp ages for 1982-2024,1997,recruitment_age1,29711.5
Prior BTSProp ages for 1982-2024,1997,predicted_catch,1128.7
Prior BTSProp ages for 1982-2024,1998,spawning_biomass,2832.3
Prior BTSProp ages for 1982-2024,1998,recruitment_age1,14528.1
Prior BTSProp ages for 1982-2024,1998,predicted_catch,1089.91
Prior BTSProp ages for 1982-2024,1999,spawning_biomass,2721.65
Prior BTSProp ages for 1982-2024,1999,recruitment_age1,15794.6
Prior BTSProp ages for 1982-2024,1999,predicted_catch,976.768
Prior BTSProp ages for 1982-2024,2000,spawning_biomass,2968.11
Prior BTSProp ages for 1982-2024,2000,recruitment_age1,24314.3
Prior BTSProp ages for 1982-2024,2000,predicted_catch,1122.07
Prior BTSProp ages for 1982-2024,2001,spawning_biomass,2778.16
Prior BTSProp ages for 1982-2024,2001,recruitment_age1,34247.7
Prior BTSProp ages for 1982-2024,2001,predicted_catch,1387.66
Prior BTSProp ages for 1982-2024,2002,spawning_biomass,2574.72
Prior BTSProp ages for 1982-2024,2002,recruitment_age1,22741.8
Prior BTSProp ages for 1982-2024,2002,predicted_catch,1487.16
Prior BTSProp ages for 1982-2024,2003,spawning_biomass,2751.85
Prior BTSProp ages for 1982-2024,2003,recruitment_age1,14123
Prior BTSProp ages for 1982-2024,2003,predicted_catch,1496.49
Prior BTSProp ages for 1982-2024,2004,spawning_biomass,2603.82
Prior BTSProp ages for 1982-2024,2004,recruitment_age1,6363.75
Prior BTSProp ages for 1982-2024,2004,predicted_catch,1488.48
Prior BTSProp ages for 1982-2024,2005,spawning_biomass,2710.92
Prior BTSProp ages for 1982-2024,2005,recruitment_age1,4486.42
Prior BTSProp ages for 1982-2024,2005,predicted_catch,1499.22
Prior BTSProp ages for 1982-2024,2006,spawning_biomass,2511.07
Prior BTSProp ages for 1982-2024,2006,recruitment_age1,11260.9
Prior BTSProp ages for 1982-2024,2006,predicted_catch,1478.24
Prior BTSProp ages for 1982-2024,2007,spawning_biomass,1923.25
Prior BTSProp ages for 1982-2024,2007,recruitment_age1,24391.2
Prior BTSProp ages for 1982-2024,2007,predicted_catch,1319.36
Prior BTSProp ages for 1982-2024,2008,spawning_biomass,1587.73
Prior BTSProp ages for 1982-2024,2008,recruitment_age1,12894.6
Prior BTSProp ages for 1982-2024,2008,predicted_catch,964.282
Prior BTSProp ages for 1982-2024,2009,spawning_biomass,1355.57
Prior BTSProp ages for 1982-2024,2009,recruitment_age1,48094.6
Prior BTSProp ages for 1982-2024,2009,predicted_catch,787.06
Prior BTSProp ages for 1982-2024,2010,spawning_biomass,1526.49
Prior BTSProp ages for 1982-2024,2010,recruitment_age1,22141.6
Prior BTSProp ages for 1982-2024,2010,predicted_catch,788.368
Prior BTSProp ages for 1982-2024,2011,spawning_biomass,1897.36
Prior BTSProp ages for 1982-2024,2011,recruitment_age1,13445.4
Prior BTSProp ages for 1982-2024,2011,predicted_catch,1179.48
Prior BTSProp ages for 1982-2024,2012,spawning_biomass,2469.17
Prior BTSProp ages for 1982-2024,2012,recruitment_age1,11642.6
Prior BTSProp ages for 1982-2024,2012,predicted_catch,1192.23
Prior BTSProp ages for 1982-2024,2013,spawning_biomass,2772.06
Prior BTSProp ages for 1982-2024,2013,recruitment_age1,42159.4
Prior BTSProp ages for 1982-2024,2013,predicted_catch,1243.07
Prior BTSProp ages for 1982-2024,2014,spawning_biomass,2291.81
Prior BTSProp ages for 1982-2024,2014,recruitment_age1,47963.7
Prior BTSProp ages for 1982-2024,2014,predicted_catch,1287.48
Prior BTSProp ages for 1982-2024,2015,spawning_biomass,2183.72
Prior BTSProp ages for 1982-2024,2015,recruitment_age1,20546.1
Prior BTSProp ages for 1982-2024,2015,predicted_catch,1363.21
Prior BTSProp ages for 1982-2024,2016,spawning_biomass,2727.33
Prior BTSProp ages for 1982-2024,2016,recruitment_age1,7515.51
Prior BTSProp ages for 1982-2024,2016,predicted_catch,1422.78
Prior BTSProp ages for 1982-2024,2017,spawning_biomass,3085.69
Prior BTSProp ages for 1982-2024,2017,recruitment_age1,7009.26
Prior BTSProp ages for 1982-2024,2017,predicted_catch,1436.59
Prior BTSProp ages for 1982-2024,2018,spawning_biomass,3463.04
Prior BTSProp ages for 1982-2024,2018,recruitment_age1,15540.4
Prior BTSProp ages for 1982-2024,2018,predicted_catch,1423.82
Prior BTSProp ages for 1982-2024,2019,spawning_biomass,2636.95
Prior BTSProp ages for 1982-2024,2019,recruitment_age1,70738
Prior BTSProp ages for 1982-2024,2019,predicted_catch,1461.04
Prior BTSProp ages for 1982-2024,2020,spawning_biomass,1969.52
Prior BTSProp ages for 1982-2024,2020,recruitment_age1,24676.2
Prior BTSProp ages for 1982-2024,2020,predicted_catch,1378.19
Prior BTSProp ages for 1982-2024,2021,spawning_biomass,2461.87
Prior BTSProp ages for 1982-2024,2021,recruitment_age1,12010.5
Prior BTSProp ages for 1982-2024,2021,predicted_catch,1378.99
Prior BTSProp ages for 1982-2024,2022,spawning_biomass,2920.45
Prior BTSProp ages for 1982-2024,2022,recruitment_age1,9997.35
Prior BTSProp ages for 1982-2024,2022,predicted_catch,1106.58
Prior BTSProp ages for 1982-2024,2023,spawning_biomass,3595.1
Prior BTSProp ages for 1982-2024,2023,recruitment_age1,12177.6
Prior BTSProp ages for 1982-2024,2023,predicted_catch,1321.65
Prior BTSProp ages for 1982-2024,2024,spawning_biomass,2772.65
Prior BTSProp ages for 1982-2024,2024,recruitment_age1,15658.2
Prior BTSProp ages for 1982-2024,2024,predicted_catch,1315.56
Prior BTSProp ages for 1982-2024,2025,spawning_biomass,2337.49
Prior BTSProp ages for 1982-2024,2025,recruitment_age1,20463.4
Prior BTSProp ages for 1982-2024,2025,predicted_catch,1342.58
