"term","estimate","std.error","gradient","estimation_type","module","year","age","engine","model","statistic","p.value"
"larv_rec_devs[62]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[63]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[64]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[65]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[66]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[67]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[68]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[69]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[70]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[71]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[72]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[73]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[74]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[75]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[76]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[77]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[78]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[79]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[80]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[81]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[82]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[83]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[84]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[85]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[86]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[87]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[88]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[89]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[90]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[91]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[92]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[93]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[94]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[95]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[96]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[97]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[98]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[99]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[100]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[101]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[102]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[103]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[104]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[105]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[106]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[107]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[108]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[109]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[110]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[111]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[112]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[113]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[114]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[115]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[116]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[117]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[118]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[119]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[120]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[121]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[1]",-2.24543732882422,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[2]",-2.26476628756219,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[3]",-2.35626521703151,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[4]",-1.77096685627982,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[5]",-1.80868095132306,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[6]",-1.77011568908036,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[7]",-1.39556234404694,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[8]",-1.05568823964504,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[9]",-0.93589973299503,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[10]",-0.796293622468168,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[11]",-0.721312237353209,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[12]",-0.934520267120571,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[13]",-1.03620307587225,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[14]",-1.11304087064262,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[15]",-0.98334250609734,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[16]",-0.909089836565925,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[17]",-0.957241653256271,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[18]",-1.25638051015512,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[19]",-1.68538515935412,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[20]",-1.8813989657606,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[21]",-1.92243607250107,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[22]",-1.92728264133597,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[23]",-2.01432578643939,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[24]",-2.3295561269154,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[25]",-2.0356262676328,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_F_devs[26]",-1.98883022199736,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
